revision,name,niveau,date,youtube,pdf
1,Chasin' tail lights,2,22/05/2019,,
1,Bound ta git down,2,22/05/2019,,
1,Long live the nights,2,15/05/2019,https://www.youtube.com/watch?v=RkiUPLMTv6M,long live the nights.pdf
1,Kinda like now,2,15/05/2019,,
1,Those were the nights,2,15/05/2019,,
1,See ya Cecilia,2,15/05/2019,,
1,Master of tides,2,15/05/2019,,
1,See ya Cecilia,2,10/05/2019,,
1,She's with me,2,10/05/2019,,
1,Perfect place,2,10/05/2019,,
1,Thigtrope,2,10/05/2019,,
1,Master of tides,2,10/05/2019,,
0,Bound ta git down,2,10/04/2019,https://www.youtube.com/watch?v=QQy2cbblsm4,bound_ta_git_down.pdf
0,Those were the nights,2,10/04/2019,https://www.youtube.com/watch?v=GF1XgGgzhrk&t=164s,those_were_the_nights.pdf
0,Perfect place,2,03/04/2019,https://www.youtube.com/watch?v=OzvDU_Ph4qc,perfect_place.pdf
0,Farmers wife,2,03/04/2019,https://www.youtube.com/watch?v=30xz9omD-L0,farmers_wife.pdf
0,Nothing but you,2,27/03/2019,https://www.youtube.com/watch?v=69baE1HVi2k,nothing_but_you.pdf
1,Hearts onfire,2,27/03/2019,,
1,Cowgirls,2,27/03/2019,,
1,Hearts onfire,2,13/03/2019,,
1,Chasin' tail lights,2,13/03/2019,,
1,Girl of the summer,2,13/03/2019,,
1,Majestic,2,13/03/2019,,
0,Hearts onfire,2,06/03/2019,https://www.youtube.com/watch?v=7akLkHTcXLQ&t=19s,hearts_on_fire.pdf
1,Chasin' tail lights,2,06/03/2019,,
1,Born to love you,2,06/03/2019,,
1,White Whisky,2,06/03/2019,,
0,Chasin tail lights,2,27/02/2019,https://www.youtube.com/watch?v=-bbZlpk0_W8,chasin_tail_lights.pdf
1,Cowgirls,2,27/02/2019,,
1,Born to love you,2,27/02/2019,,
1,White Whisky,2,27/02/2019,,
0,Cowgirls,2,06/02/2019,https://www.youtube.com/watch?v=WMvZsANh1aY,cowgirls.pdf
1,White whiky,2,06/02/2019,,
1,Kinda like now,2,06/02/2019,,
1,Majestic,2,06/02/2019,,
1,Girl of the summer,2,06/02/2019,,
0,Girl of the summer,2,29/01/2019,,girl_of_the_summer.pdf
1,White Whisky,2,29/01/2019,,
1,Kinda like now,2,29/01/2019,,
1,Majestic,2,29/01/2019,,
1,Kinda like now,2,23/01/2019,,
1,Majestic,2,23/01/2019,,
0,Majestic,2,16/01/2019,https://www.youtube.com/watch?v=XRGrnDZEhFw&t=26s,Majestic.pdf
0,Kinda like now,2,16/01/2019,https://www.youtube.com/watch?v=O41XYXuIc7E,Kinda_like_now.pdf
0,White whisky,2,09/01/2019,https://www.youtube.com/watch?v=tcDR5ONoVCQ,white_whisky.pdf
1,Born to love you,2,09/01/2019,,
1,Think your present,2,09/01/2019,,
1,Born to love you,2,12/12/2018,,
1,Boots,2,12/12/2018,,
1,See ya Cecilia,2,12/12/2018,,
1,Think your present,2,12/12/2018,,
1,All the king horses,2,12/12/2018,,
0,Born to love you,2,04/12/2018,https://www.youtube.com/watch?v=RxGPHl3vjrw,born_to_love_you.pdf
1,Party,2,04/12/2018,,
1,She's with me,2,04/12/2018,,
0,She's wth me,2,28/11/2018,ttps://www.youtube.com/watch?v=5F2mhdfhi08,shes_with_me.pdf
1,Party,2,28/11/2018,,
1,Tightrope,2,28/11/2018,,
0,Party,2,21/11/2018,https://www.youtube.com/watch?v=mVruWq0BOsE,party.pdf
1,Master of tides,2,21/11/2018,,
1,Tightrope,2,21/11/2018,,
0,Tightrope,2,14/11/2018,https://www.youtube.com/watch?v=HA2pldwocsQ&t=411s,tightrope.pdf
1,See ya Cecilia,2,14/11/2018,,
1,See ya Cecilia,2,07/11/2018,,
1,Boots,2,07/11/2018,,
1,All the king horses,2,07/11/2018,,
1,Think your present,2,07/11/2018,,
1,Master of tides,2,07/11/2018,,
1,See ya Cecilia,2,31/10/2018,,
1,Boots,2,31/10/2018,,
0,Boots,2,17/10/2018,https://www.youtube.com/watch?v=TwEgu3uHHjw,Boots.pdf
0,See ya Cecilia,2,17/10/2018,https://www.youtube.com/watch?v=BDfcoRFVlcg,See_ya_Cecilia.pdf
0,Think your present,2,10/10/2018,https://www.youtube.com/watch?v=uv2qOZuGt74,Think_your_present.pdf
1,All the king horses,2,10/10/2018,,
1,Master of tides,2,10/10/2018,,
0,All the king horses,2,03/10/2018,https://www.youtube.com/watch?v=aD4DYB3mkOk,all_the_kings_horse.pdf
1,Master of tides,2,03/10/2018,,
0,Master of tides,2,26/09/2018,ttps://www.youtube.com/watch?v=0lSlgnhJrZc,master_of_tides.pdf
0,Cards on the table,2,19/09/2018,https://www.youtube.com/watch?v=KGiepHlsOuc,cards_on_the_the_table.pdf
1,Woman amen,2,19/09/2018,,
1,Another crzy year,2,19/09/2018,,
0,Let's go there,2,12/09/2018,https://www.youtube.com/watch?v=mVKG2n4FCRU,Lets_go_there.pdf
1,I got this too,2,12/09/2018,,
1,open your eyes,2,12/09/2018,,
1,Female,2,12/09/2018,,
,Home we'll go,2,12/09/2018,,
