revision,name,niveau,date,youtube,pdf,pdf_link
1,Celtic Duo,1,16/01/2019,,,
0,Just a burning man,1,16/01/2019,https://www.youtube.com/watch?v=vZPHzqQt8qw,just_a_burning_man.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905421/dml-laille/seed_danse/just_a_burning_man.pdf
0,Wild horse,1,09/01/2019,https://www.youtube.com/watch?v=kgZVQbZu-nI,wilde_horse.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905403/dml-laille/seed_danse/wilde_horse.pdf
1,Locash,1,09/01/2019,,,
1,Must be the whiskey,1,09/01/2019,,,
1,Damn,1,09/01/2019,,,
1,Let's go there,1,09/01/2019,,,
2,Must be the whiskey,1,12/12/2018,,,
1,Damn,1,12/12/2018,,,
1,Let's go there,1,12/12/2018,,,
1,8th day,1,12/12/2018,,,
1,Cards on the table,1,12/12/2018,,,
1,Woman amen,1,12/12/2018,,,
2,Snap,1,04/04/2018,,,
1,Ghost town,1,04/04/2018,,,
1,Must be the whiskey,1,04/04/2018,,,
1,Damn,1,04/04/2018,,,
1,Locash,1,04/04/2018,,,
1,Soldier,1,04/04/2018,,,
1,Insecure,1,04/04/2018,,,
0,Must be the whiskey,1,28/11/2018,https://www.youtube.com/watch?v=d_w6YLNsGWk,must_be_the_whiskey.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905431/dml-laille/seed_danse/must_be_the_whiskey.pdf
1,Celtic Duo,1,28/11/2018,,,
1,Damn,1,28/11/2018,,,
1,Bush party,1,28/11/2018,,,
1,Just a burning man,1,28/11/2018,,,
0,Damn,1,21/11/2018,https://www.youtube.com/watch?v=9E2JR9k_SDU,Damn.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905417/dml-laille/seed_danse/Damn.pdf
1,Celtic Duo,1,21/11/2018,,,
1,Locash,1,21/11/2018,,,
1,Gypsy queen,1,21/11/2018,,,
1,Bring down the house,1,21/11/2018,,,
1,Clear Isabel,1,21/11/2018,,,
0,Locash,1,14/11/2018,https://www.youtube.com/watch?v=a_rhN79oXcE&fbclid=IwAR2FFq1FFx4d-8CRjSJxUcK3nRC83jPU8TC_RQT-2QugCJj8MlDQE8UN-Ws,locash.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905427/dml-laille/seed_danse/locash.pdf
1,Sweet hurt,1,14/11/2018,,,
1,Champagne promise,1,14/11/2018,,,
1,8th day,1,14/11/2018,,,
1,Dancing around it,1,14/11/2018,,,
1,Celtic Duo,1,14/11/2018,,,
1,Cards on the table,1,14/11/2018,,,
1,Day of the dead,1,14/11/2018,,,
2,Eyes on you,1,07/11/2018,,,
1,I got this too,1,07/11/2018,,,
1,I be u be,1,07/11/2018,,,
1,Chasing down a good time,1,07/11/2018,,,
1,Open your eyes,1,07/11/2018,,,
1,Ouzo and black,1,07/11/2018,,,
1,Circle of crows,1,07/11/2018,,,
0,Circle of crows,1,31/10/2018,https://www.youtube.com/watch?v=GiS2QgibMU8,Circle_of_crows.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905413/dml-laille/seed_danse/Circle_of_crows.pdf
1,Eyes on you,1,31/10/2018,,,
1,Champagne promise,1,31/10/2018,,,
1,Woman amen,1,31/10/2018,,,
1,Lonely drum,1,31/10/2018,,,
1,Let's go there,1,31/10/2018,,,
0,Eyes on you,1,17/10/2018,https://www.youtube.com/watch?v=1XzYeXkmsos,eyes_on_you.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905420/dml-laille/seed_danse/eyes_on_you.pdf
1,Champagne promise,1,17/10/2018,,,
1,Galway girls,1,17/10/2018,,,
